Size,gb5787:c,gb5787:dc,gb5787:k,gb5787:s,gb5787:short,gb5787:long
M5-0.8,1,11.8,5.8,8,10,50
M6-1,1.1,14.2,6.6,10,12,60
M8-1.25,1.2,18,8.1,13,16,80
M10-1.5,1.5,22.3,10.4,16,20,100
M12-1.75,1.8,26.6,11.8,18,25,120
M14-2,2.1,30.5,13.7,21,30,140
M16-2,2.4,35,15.4,24,35,160
M20-2.5,3,43,18.9,30,65,200
